marca,modelo,ano,km,preco_numerico,consumo_urbano_km_l,consumo_estrada_km_l,custo_manutencao_anual,confiabilidade,tipo_veiculo_classificado,segmento,codigoFipe,mesReferencia,anoReferencia
Ferrari,F458 Spider F1 4.5 V8 570cv,2022,35805,2098500.0,11.1,16.8,3394,7.3,Hatchback,Premium,031033-6,12,2014
Ferrari,F599 GTB Fiorano F1 6.0 V12 620cv,2012,189468,1868518.0,13.0,16.6,4728,7.4,Hatchback,Premium,031028-0,10,2017
Ferrari,F599 GTB Fiorano F1 6.0 V12 620cv,2022,24304,2375151.0,13.3,16.8,3713,6.7,Hatchback,Premium,031028-0,5,2009
Ferrari,F8 Spider 3.9 V8 Bi-Turbo 720cv,2022,27724,4550650.0,12.8,15.5,4500,6.2,Hatchback,Premium,031048-4,2,2021
Ferrari,F8 TRIBUTO 3.9 V8 720cv,2022,30875,3500000.0,13.3,15.0,3756,6.1,Hatchback,Premium,031047-6,12,2020
Ferrari,FF F1 6.3 V12 660cv,2016,140537,3094394.0,13.8,15.2,4287,6.6,Hatchback,Premium,031032-8,10,2021
Ferrari,FF F1 6.3 V12 660cv,2022,25916,3498445.0,12.8,16.5,3110,6.5,Hatchback,Premium,031032-8,6,2015
Ferrari,GTC4 LUSSO 6.3 V12 690cv,2019,66431,2795821.0,11.1,15.2,3481,6.3,Hatchback,Premium,031041-7,6,2021
Ferrari,GTC4 LUSSO 6.3 V12 690cv,2022,27688,3950000.0,13.1,15.2,3140,7.0,Hatchback,Premium,031041-7,6,2018
Ferrari,GTC4 LUSSO T V8 610cv,2020,53125,3755159.0,12.4,16.2,4480,7.2,Hatchback,Premium,031043-3,10,2021
Ferrari,GTC4 LUSSO T V8 610cv,2022,33020,4200000.0,12.6,14.9,3278,7.3,Hatchback,Premium,031043-3,12,2020
Ferrari,PORTOFINO 3.9 V8 600cv,2020,70527,2918014.0,13.3,15.5,4044,7.3,Hatchback,Premium,031044-1,2,2022
Ferrari,PORTOFINO 3.9 V8 600cv,2022,28737,2400000.0,12.8,13.7,4817,6.5,Hatchback,Premium,031044-1,3,2020
Ferrari,PORTOFINO M 3.9 V8 620cv,2022,33958,3500000.0,12.8,16.7,3885,7.2,Hatchback,Premium,031052-2,6,2022
Ferrari,Roma 3.9 V8 620cv,2022,25672,3402866.0,12.5,15.0,4690,6.0,Hatchback,Premium,031051-4,7,2022
Ferrari,SF 90 SPIDER 4.0 V8 Bi-Turbo (Híbrido),2022,29471,8407082.0,11.7,15.5,3118,6.3,Hatchback,Premium,031053-0,5,2022
Ferrari,SF 90 STRADALE 4.0 V8 Bi-Turbo (Híbrido),2022,30051,7406239.0,12.3,13.7,4558,6.2,Hatchback,Premium,031049-2,4,2022
Fiat,147 C/ CL,1987,662099,3903.0,12.7,16.3,1674,6.8,Hatchback,Popular,001124-0,7,2022
Fiat,147 Furgão (todos),1987,527562,2666.0,13.5,13.7,2104,6.6,Hatchback,Popular,001138-0,6,2022
Fiat,147 Pick-Up (todas),1988,610184,4751.0,13.5,15.3,2365,6.5,Hatchback,Popular,001123-1,6,2022
Fiat,500 ABARTH MULTIAIR 1.4 TB 16V 3p,2015,160404,102305.0,11.7,15.9,2005,7.5,Hatchback,Médio,001429-0,6,2022
Fiat,500 Cabrio Dualogic Flex 1.4 8V,2017,124025,78518.0,12.5,15.4,2374,7.5,Hatchback,Popular,001420-6,6,2022
Fiat,500 Cabrio Flex 1.4 8V Mec.,2015,128666,71822.0,12.4,16.6,2413,7.1,Hatchback,Popular,001421-4,5,2022
Fiat,500 Cabrio/500 Coupe Gucci/Flex 1.4 Aut.,2015,135323,76988.0,14.0,15.5,2115,6.5,Hatchback,Popular,001392-7,8,2022
Fiat,500 Cult 1.4 Flex 8V EVO Dualogic,2015,140807,51986.0,13.7,16.9,2248,7.2,Hatchback,Popular,001362-5,8,2022
Fiat,500 Cult 1.4 Flex 8V EVO Mec.,2017,101721,64801.0,12.5,14.5,2495,7.3,Hatchback,Popular,001361-7,8,2022
Fiat,500 LOUNGE 1.4 16V 100cv  Mec.,2010,229618,40876.0,11.9,15.6,2284,6.9,Hatchback,Popular,001296-3,7,2022
Fiat,500 LOUNGE 1.4 16V 100cv Dualogic,2012,204085,40464.0,13.2,15.8,1875,7.0,Hatchback,Popular,001297-1,8,2022
Fiat,500 Lounge Air 1.4/ 1.4 Flex 16V Aut.,2014,149665,59369.0,12.6,14.8,1655,7.4,Hatchback,Popular,001360-9,7,2022
Fiat,500 SPORT 1.4 16V 100cv  Dualogic,2010,240003,36695.0,11.8,14.7,1731,7.5,Hatchback,Popular,001295-5,5,2022
Fiat,500 SPORT 1.4 16V 100cv Mec.,2010,201147,39652.0,13.2,15.7,2141,7.3,Hatchback,Popular,001290-4,5,2022
Fiat,500 Sport Air 1.4 16V/1.4 Flex 16V Aut.,2015,142551,61314.0,12.7,14.2,1909,7.0,Hatchback,Popular,001359-5,5,2022
Fiat,500 Sport Air 1.4 16V/1.4 Flex Mec.,2014,155289,47404.0,11.9,16.2,1818,6.6,Hatchback,Popular,001358-7,7,2022
Fiat,500e ICON (Elétrico),2022,27240,255821.0,13.1,14.4,3728,6.9,Hatchback,Premium,001541-5,7,2022
Fiat,ARGO 1.0 6V Flex.,2022,32913,72229.0,13.8,16.9,2076,7.0,Hatchback,Popular,001509-1,5,2022
Fiat,ARGO DRIVE 1.0 6V Flex,2022,31510,77578.0,11.9,16.4,1812,6.9,Hatchback,Popular,001494-0,5,2022
Fiat,ARGO DRIVE 1.3 8V Flex,2021,37426,70510.0,13.8,14.5,2231,6.7,Hatchback,Popular,001493-1,8,2022
Fiat,ARGO DRIVE GSR 1.3 8V Flex,2020,69630,68860.0,11.6,15.5,1685,7.4,Hatchback,Popular,001492-3,6,2022
Fiat,ARGO DRIVE S-DESIGN 1.3 8V Flex,2022,30311,85550.0,12.2,15.5,1845,7.3,Hatchback,Médio,001540-7,8,2022
Fiat,ARGO HGT 1.8 16V Flex Aut.,2021,46076,90450.0,11.5,14.6,1911,6.9,Hatchback,Médio,001488-5,8,2022
Fiat,ARGO HGT 1.8 16V Flex Aut.,2022,25520,100357.0,13.8,14.1,2344,7.3,Hatchback,Médio,001488-5,6,2022
Fiat,ARGO HGT 1.8 16V Flex Mec.,2019,64493,72140.0,13.9,14.8,2209,7.5,Hatchback,Popular,001490-7,5,2022
Fiat,ARGO PRECISION 1.8 16V Flex Aut.,2020,49656,76297.0,14.0,13.8,2092,6.5,Hatchback,Popular,001489-3,8,2022
Fiat,ARGO PRECISION 1.8 16V Flex Mec.,2019,89015,69662.0,11.9,14.2,1523,7.2,Hatchback,Popular,001491-5,6,2022
Fiat,ARGO TREKKING 1.3 8V Flex,2022,35744,87385.0,11.4,14.0,1807,6.6,Hatchback,Médio,001519-9,8,2022
Fiat,ARGO TREKKING 1.8 16V Flex Aut.,2021,50212,89883.0,13.3,15.8,1718,6.7,Hatchback,Médio,001524-5,8,2022
Fiat,ARGO TREKKING 1.8 16V Flex Aut.,2022,34645,99263.0,12.9,15.8,1978,7.2,Hatchback,Médio,001524-5,6,2022
Fiat,Brava ELX  1.6 16V 4p,2003,277585,14290.0,12.2,15.7,2180,7.0,Hatchback,Popular,001110-0,7,2022
Fiat,Brava HGT 1.8 mpi 16V  4p,2003,270530,13737.0,11.6,16.0,1828,6.7,Hatchback,Popular,001140-1,5,2022
Fiat,Brava SX 1.6 16V 4p,2003,354481,13987.0,11.0,13.6,1905,6.9,Hatchback,Popular,001109-6,8,2022
Fiat,Bravo ABSOLUTE 1.8 Flex 16V 5p,2012,152894,35495.0,11.2,16.1,1827,7.2,Hatchback,Popular,001339-0,5,2022
Fiat,Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p,2014,179811,42021.0,13.0,14.6,2105,6.8,Hatchback,Popular,001340-4,8,2022
Fiat,Bravo BlackMotion 1.8 Dualogic Flex 5p,2016,118037,55021.0,12.3,16.5,1859,7.4,Hatchback,Popular,001435-4,6,2022
Fiat,Bravo BlackMotion 1.8 Flex 16v 5p,2016,119850,52783.0,11.6,14.8,2341,6.9,Hatchback,Popular,001434-6,8,2022
Fiat,Bravo ESSENCE 1.8 Flex 16V 5p,2016,132407,49709.0,13.0,14.3,1867,7.2,Hatchback,Popular,001337-4,7,2022
Fiat,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,2016,136896,48914.0,12.5,15.4,2110,7.5,Hatchback,Popular,001338-2,8,2022
Fiat,Bravo SPORTING 1.8 Dualogic Flex 16V 5p,2016,126094,59093.0,11.8,14.7,1558,7.2,Hatchback,Popular,001385-4,7,2022
Fiat,Bravo SPORTING 1.8 Flex 16V 5p,2016,139681,58970.0,11.9,14.8,1797,6.8,Hatchback,Popular,001384-6,7,2022
Fiat,Bravo SX 1.6,1999,431205,8471.0,11.8,16.6,2284,7.3,Hatchback,Popular,001127-4,8,2022
Fiat,Bravo T-JET 1.4 16V Turbo 5p,2016,140896,66921.0,12.6,15.3,1661,7.0,Hatchback,Popular,001356-0,8,2022
Fiat,Bravo WOLVERINE 1.8 Dualogic Flex 16V 5p,2014,176238,41320.0,11.3,15.9,2439,6.6,Hatchback,Popular,001403-6,6,2022
Fiat,Bravo WOLVERINE 1.8 Flex 16V 5p,2014,144742,40922.0,12.7,16.2,1819,6.7,Hatchback,Popular,001402-8,7,2022
Fiat,CRONOS 1.3 8V Flex,2022,31789,84469.0,13.1,14.0,2333,7.1,Hatchback,Médio,001506-7,7,2022
Fiat,CRONOS 1.8 16V Flex Aut. ,2021,42376,83547.0,13.6,16.2,2236,7.2,Hatchback,Médio,001523-7,8,2022
Fiat,CRONOS DRIVE 1.3 8V Flex,2022,26006,88247.0,13.9,13.5,1706,7.2,Hatchback,Médio,001505-9,6,2022
Fiat,CRONOS DRIVE 1.8 16V Flex Aut.,2021,43045,81557.0,11.2,15.1,2303,7.0,Hatchback,Médio,001517-2,8,2022
Fiat,CRONOS DRIVE GSR 1.3 8V Flex,2020,56735,66534.0,11.5,15.0,2221,7.0,Hatchback,Popular,001504-0,7,2022
Fiat,CRONOS HGT 1.8 16V Flex Aut.,2021,41459,97006.0,13.9,14.3,1875,6.6,Hatchback,Médio,001522-9,8,2022
Fiat,CRONOS HGT 1.8 16V Flex Aut.,2022,31795,105502.0,12.0,14.9,2045,6.9,Hatchback,Médio,001522-9,6,2022
Fiat,CRONOS PRECISION 1.8 16V Flex Aut.,2021,47066,92394.0,12.3,15.4,1689,7.4,Hatchback,Médio,001502-4,8,2022
Fiat,CRONOS PRECISION 1.8 16V Flex Aut.,2022,34668,100721.0,12.3,16.1,2139,6.7,Hatchback,Médio,001502-4,5,2022
Fiat,CRONOS PRECISION 1.8 16V Flex Mec.,2019,79399,73973.0,11.9,13.6,1942,6.9,Hatchback,Popular,001503-2,5,2022
Fiat,Cinquecento 0.7,1995,452567,3652.0,12.0,14.0,2042,6.7,Hatchback,Popular,001128-2,6,2022
Fiat,Coupe 16V,1997,474278,35333.0,13.9,16.4,1953,6.8,Hatchback,Popular,001057-0,5,2022
Fiat,Doblo  1.4 mpi Fire Flex  8V 4p,2011,197939,40361.0,12.9,13.6,2464,7.0,Hatchback,Popular,001300-5,7,2022
Fiat,Doblo  Cargo 1.4 mpi Fire Flex 8V 3p,2016,114543,57246.0,12.9,16.4,1730,6.9,Hatchback,Popular,001302-1,7,2022
Fiat,Doblo ATTRACTIVE 1.4 Fire Flex 8V 5p,2016,104527,52384.0,12.1,14.7,2383,6.9,Hatchback,Popular,001353-6,7,2022
Fiat,Doblo Adv. XINGU 1.8 Flex 16V 5p,2014,126499,56913.0,12.3,15.9,1901,6.9,Hatchback,Popular,001382-0,5,2022
Fiat,Doblo Adv. XINGU LOCKER 1.8 Flex 16V 5p,2014,155299,56358.0,13.1,14.1,1779,6.6,Hatchback,Popular,001383-8,6,2022
Fiat,Doblo Adv.Ext./Adv.Ext.Loc. 1.8 16V Flex,2016,132522,63827.0,11.4,14.9,2155,6.7,Hatchback,Popular,001456-7,5,2022
Fiat,Doblo Adv/Adv TRYON/LOCKER 1.8 Flex,2020,60472,81471.0,11.3,16.5,1999,7.3,Hatchback,Médio,001234-3,7,2022
Fiat,Doblo Adventure/ Adv.ER 1.8 mpi 8V 103cv,2006,233707,28677.0,12.8,16.8,2261,6.8,Hatchback,Popular,001204-1,8,2022
Fiat,Doblo Cargo 1.3 Fire 16V 4/5p,2006,267424,23713.0,13.7,14.1,2246,7.1,Hatchback,Popular,001170-3,5,2022
Fiat,Doblo Cargo 1.6 16V 4/5p,2003,321347,20411.0,11.4,13.9,1901,7.3,Hatchback,Popular,001169-0,7,2022
Fiat,Doblo Cargo 1.8 mpi 8V 103cv,2006,224589,25311.0,12.3,17.0,2183,6.7,Hatchback,Popular,001206-8,5,2022
Fiat,Doblo Cargo 1.8 mpi Fire Flex 8V/16V 4p,2021,36762,95109.0,13.6,16.7,2209,6.7,Hatchback,Médio,001235-1,7,2022
Fiat,Doblo Cargo 1.8 mpi Fire Flex 8V/16V 4p,2022,32973,120050.0,13.2,14.3,2353,6.9,Hatchback,Médio,001235-1,5,2022
Fiat,Doblo ELX 1.4 mpi Fire Flex 8V 4p,2011,202399,39302.0,11.0,13.5,1629,6.6,Hatchback,Popular,001301-3,8,2022
Fiat,Doblo ELX 1.6 16V 4/5p,2003,333237,19896.0,12.8,14.8,1656,6.9,Hatchback,Popular,001168-1,7,2022
Fiat,Doblo ELX 1.8 mpi 8V 103cv,2006,294839,23475.0,12.4,15.5,1536,7.5,Hatchback,Popular,001205-0,8,2022
Fiat,Doblo ELX 1.8 mpi 8V Flex,2010,204060,37517.0,13.6,14.2,1877,7.2,Hatchback,Popular,001236-0,7,2022
Fiat,Doblo ESSENCE 1.8 Flex 16V 5p,2021,36062,89982.0,13.4,14.8,2308,6.7,Hatchback,Médio,001352-8,7,2022
Fiat,Doblo ESSENCE 1.8 Flex 16V 5p,2022,35790,129754.0,11.4,16.0,1621,7.4,Hatchback,Médio,001352-8,6,2022
Fiat,Doblo EX 1.3 Fire 16V 80cv 4/5p,2006,296494,26050.0,13.7,16.9,1968,7.2,Hatchback,Popular,001167-3,5,2022
Fiat,Doblo HLX 1.8 mpi Flex 5p,2011,183707,41087.0,12.2,14.5,1690,7.4,Hatchback,Popular,001240-8,7,2022
Fiat,Duna 1.6ie,1995,499222,6338.0,12.8,14.9,1542,7.0,Hatchback,Popular,001129-0,5,2022
Fiat,Elba 1.6i.e/Top/CSL/ 1.6i.e/1.5 2p e 4p,1996,457399,10094.0,13.1,14.1,1918,6.5,Hatchback,Popular,001025-1,5,2022
Fiat,Elba CS 1.6 / 1.5 /1.3,1992,490935,5898.0,11.7,13.9,2415,7.3,Hatchback,Popular,001023-5,7,2022
Fiat,Elba S 1.6/ 1.5ie / 1.5 / 1.3,1992,427129,5246.0,14.0,13.9,2051,6.5,Hatchback,Popular,001022-7,6,2022
Fiat,Elba Weekend 1.5 i.e. 2p e 4p,1996,502814,7301.0,12.3,15.0,1570,6.8,Hatchback,Popular,001024-3,7,2022
Fiat,FREEMONT EMOT./PRECISION 2.4 16V 5p Aut.,2016,107759,78320.0,11.9,14.3,2194,7.4,Hatchback,Popular,001365-0,7,2022
Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2022,33246,104431.0,11.3,15.6,1600,7.1,Hatchback,Médio,001531-8,8,2022
Fiat,Fiorino Furg.1.5/1.3/1.3 Fire/1.3 F.Flex,2013,169305,39080.0,12.7,16.1,1706,7.0,Hatchback,Popular,001027-8,5,2022
Fiat,Fiorino Furgão 1.0,1997,482617,11315.0,13.7,16.8,2109,7.5,Hatchback,Popular,001026-0,6,2022
Fiat,Fiorino Furgão 1.5 mpi / i.e.,2005,318382,17752.0,13.5,15.2,2177,6.8,Hatchback,Popular,001001-4,6,2022
Fiat,Fiorino Furgão Celeb. EVO 1.4 Flex 8V 2p,2016,134505,59933.0,13.6,13.9,1821,7.0,Hatchback,Popular,001414-1,5,2022
Fiat,Fiorino Furgão EVO 1.4 Flex 8V 2p,2021,45274,79928.0,11.3,15.3,1885,7.4,Hatchback,Popular,001413-3,8,2022
Fiat,Fiorino Furgão Work. HARD 1.4 Flex 8V 2p,2021,41479,81060.0,11.3,14.8,2018,6.9,Hatchback,Médio,001477-0,8,2022
Fiat,Fiorino Pick-Up 1.0,1997,472790,10784.0,12.1,13.8,2114,7.2,Hatchback,Popular,001028-6,5,2022
Fiat,Fiorino Pick-Up 1.5 i.e./1.3/1.5/HD,1997,481933,11428.0,13.2,13.6,2337,7.1,Hatchback,Popular,001029-4,8,2022
Fiat,Fiorino Pick-Up LX (todas),1998,389017,11445.0,13.3,13.8,1806,6.6,Hatchback,Popular,001030-8,6,2022
Fiat,Fiorino Pick-Up Trekking 1.5 mpi / i.e.,1999,360752,14377.0,11.1,15.5,2006,6.6,Hatchback,Popular,001003-0,8,2022
Fiat,Fiorino Pick-Up Working 1.5 mpi / i.e.,1999,425925,15166.0,13.7,15.1,2450,6.7,Hatchback,Popular,001002-2,6,2022
Fiat,Fiorino Working 1.4 Flex 8V 2p,2021,37978,80857.0,11.9,15.6,2430,6.7,Hatchback,Médio,001534-2,7,2022
Fiat,Fiorino Working 1.4 Flex 8V 2p,2022,24354,95091.0,12.0,15.8,2404,6.9,Hatchback,Médio,001534-2,5,2022
Fiat,Grand Siena 1.0 EVO Flex 8V 4p,2021,46128,59162.0,11.0,16.7,2369,6.9,Hatchback,Popular,001533-4,8,2022
Fiat,Grand Siena 1.0 EVO Flex 8V 4p,2022,31156,68439.0,11.1,16.8,2022,7.2,Hatchback,Popular,001533-4,5,2022
Fiat,Grand Siena 1.4 EVO Flex 8V 4p,2021,37117,62295.0,11.3,15.4,1639,7.5,Hatchback,Popular,001532-6,8,2022
Fiat,Grand Siena 1.4 EVO Flex 8V 4p,2022,27859,74102.0,13.2,13.8,2378,6.5,Hatchback,Popular,001532-6,7,2022
Fiat,Grand Siena ATTRAC. 1.4 EVO F.Flex 8V,2021,42511,61382.0,11.9,16.8,2070,7.5,Hatchback,Popular,001378-1,8,2022
Fiat,Grand Siena ATTRACTIVE 1.0 Flex 8V 4p,2021,48824,58019.0,11.9,15.1,1774,6.8,Hatchback,Popular,001481-8,8,2022
Fiat,Grand Siena ESSEN. ITALIA Dual. 1.6 Flex,2015,112789,44139.0,11.9,16.9,1806,7.3,Hatchback,Popular,001423-0,8,2022
Fiat,Grand Siena ESSEN.SUBLIME 1.6 Flex,2018,92925,50538.0,13.2,16.3,1618,6.8,Hatchback,Popular,001399-4,5,2022
Fiat,Grand Siena ESSEN.SUBLIME Dual. 1.6 Flex,2018,93129,54270.0,13.2,16.0,1955,7.3,Hatchback,Popular,001400-1,5,2022
Fiat,Grand Siena ESSENCE 1.6 Flex 16V,2018,94694,51223.0,13.0,16.5,1824,7.1,Hatchback,Popular,001379-0,7,2022
Fiat,Grand Siena ESSENCE Dual. 1.6 Flex 16V,2018,81919,52788.0,11.2,15.5,2019,7.0,Hatchback,Popular,001380-3,5,2022
Fiat,Grand Siena ESSENCE ITALIA 1.6 Flex 16V,2015,139900,45647.0,13.4,14.6,1963,7.0,Hatchback,Popular,001422-2,6,2022
Fiat,Grand Siena TETRAFUEL 1.4 Evo F. Flex 8V,2016,133591,41420.0,14.0,14.3,1870,7.0,Hatchback,Popular,001381-1,7,2022
Fiat,Idea A.Ext./A..Ext.Loc.Dual. 1.8 Flex 5p,2016,102493,47666.0,13.5,14.6,1731,6.7,Hatchback,Popular,001454-0,6,2022
Fiat,Idea ATTRACTIVE 1.4 Fire Flex 8V 5p,2016,109395,44306.0,13.6,15.7,1593,7.1,Hatchback,Popular,001328-5,6,2022
Fiat,Idea Adv./ Adv.LOCK.Dualogic 1.8 Flex 5p,2016,116039,53752.0,13.7,14.3,1691,6.6,Hatchback,Popular,001281-5,5,2022
Fiat,Idea Adv.Ext./Adv.Ext. Loc. 1.8 Flex 5p,2016,143226,49129.0,11.2,14.3,1677,7.0,Hatchback,Popular,001455-9,5,2022
Fiat,Idea Advent./ Adv.LOCKER 1.8 mpi Flex 5p,2016,140418,50859.0,11.2,15.6,1579,6.8,Hatchback,Popular,001242-4,8,2022
Fiat,Idea ELX 1.4 mpi Fire Flex 8V 5p,2010,220263,25852.0,11.2,15.1,1804,7.4,Hatchback,Popular,001228-9,7,2022
Fiat,Idea ELX 1.8 mpi Flex 8V 5p,2010,239712,26081.0,12.1,13.9,2429,7.0,Hatchback,Popular,001276-9,7,2022
Fiat,Idea ESSENCE 1.6 Flex 16V 5p,2016,133618,45774.0,11.4,16.4,1770,6.8,Hatchback,Popular,001326-9,6,2022
Fiat,Idea ESSENCE Dualogic 1.6 Flex 16V 5p,2016,123059,45854.0,12.0,15.2,1986,6.9,Hatchback,Popular,001327-7,6,2022
Fiat,Idea ESSENCE SUBLIME 1.6 Flex 16V 5p,2016,108522,44448.0,12.6,15.4,1874,6.9,Hatchback,Popular,001416-8,8,2022
Fiat,Idea ESSENCE SUBLIME Dual.1.6 Flex16V 5p,2016,143657,47250.0,13.4,13.7,1932,6.7,Hatchback,Popular,001417-6,6,2022
Fiat,Idea HLX 1.8 mpi Flex 8V 5p,2010,203334,28791.0,13.6,15.5,1593,7.0,Hatchback,Popular,001229-7,8,2022
Fiat,Idea SPORTING 1.8 Flex 16V 5p,2012,185410,39350.0,13.6,15.3,2415,6.9,Hatchback,Popular,001329-3,6,2022
Fiat,Idea SPORTING Dualogic 1.8 Flex 16V 5p,2012,175465,39711.0,12.1,13.8,2049,7.1,Hatchback,Popular,001330-7,5,2022
Fiat,LINEA 1.9/ HLX 1.9/ 1.8 Flex 16V 4p,2011,158417,28482.0,11.8,15.9,1570,6.8,Hatchback,Popular,001258-0,6,2022
Fiat,LINEA 1.9/ HLX 1.9/1.8 Flex  Dualogic 4p,2011,193106,30215.0,13.0,16.1,1826,7.3,Hatchback,Popular,001259-9,5,2022
Fiat,LINEA ABSOLUTE 1.9/1.8 Flex Dualogic 4p,2016,107563,48241.0,13.8,15.2,2377,6.6,Hatchback,Popular,001260-2,6,2022
Fiat,LINEA ESSEN.SUBLIME 1.8 Flex 16V 4p,2014,122921,37375.0,12.0,16.6,2476,6.6,Hatchback,Popular,001409-5,8,2022
Fiat,LINEA ESSEN.SUBLIME Dual.1.8 Flex 16V 4p,2014,125664,41599.0,12.1,16.3,2326,6.8,Hatchback,Popular,001410-9,5,2022
Fiat,LINEA ESSENCE 1.8 Flex 16V 4p,2016,105654,43501.0,11.0,16.4,1681,7.2,Hatchback,Popular,001354-4,8,2022
Fiat,LINEA ESSENCE Dualogic 1.8 Flex 16V 4p,2016,134237,45099.0,12.9,15.6,1799,7.1,Hatchback,Popular,001355-2,8,2022
Fiat,LINEA LX 1.9/ 1.8 Flex 16V 4p,2011,202845,28955.0,11.5,13.7,2410,6.5,Hatchback,Popular,001274-2,5,2022
Fiat,LINEA LX 1.9/ 1.8 Flex 16V Dualogic 4p,2011,225874,27124.0,11.6,16.1,2296,7.4,Hatchback,Popular,001275-0,8,2022
Fiat,LINEA T-JET 1.4 16V Turbo 4p,2012,193031,35691.0,12.4,16.6,2060,7.3,Hatchback,Popular,001261-0,6,2022
Fiat,MOBI DRIVE 1.0 Flex 6V 5p,2020,65585,50674.0,11.7,14.3,1697,7.0,Hatchback,Popular,001480-0,8,2022
Fiat,MOBI DRIVE GSR 1.0 Flex 6V 5p,2020,54128,54248.0,11.1,13.8,2079,6.6,Hatchback,Popular,001482-6,5,2022
Fiat,MOBI EASY 1.0 Fire Flex 5p.,2022,30061,52780.0,13.6,15.0,2075,6.6,Hatchback,Popular,001463-0,8,2022
Fiat,MOBI EASY COMFORT 1.0 Flex 5p.,2020,58650,50717.0,12.8,16.0,1823,7.4,Hatchback,Popular,001510-5,6,2022
Fiat,MOBI EASY on 1.0 Fire Flex 5p.,2017,91873,41867.0,12.6,15.5,2447,7.4,Hatchback,Popular,001464-8,8,2022
Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2022,35284,64914.0,12.0,14.0,1867,7.4,Hatchback,Popular,001461-3,8,2022
Fiat,MOBI LIKE ON 1.0 Fire Flex 5p.,2017,88568,44360.0,12.7,15.4,2323,7.1,Hatchback,Popular,001462-1,6,2022
Fiat,MOBI TREKKING 1.0 Flex 5p.,2022,34470,68267.0,11.4,15.4,2050,7.1,Hatchback,Popular,001536-9,5,2022
Fiat,MOBI WAY 1.0 Fire Flex 5p.,2020,56295,53398.0,12.8,15.9,1681,7.2,Hatchback,Popular,001466-4,6,2022
Fiat,MOBI WAY on 1.0 Fire Flex 5p.,2017,87659,46038.0,13.8,13.7,1639,7.5,Hatchback,Popular,001465-6,7,2022
Fiat,Marea City,2000,361303,10625.0,11.1,14.7,2437,7.5,Hatchback,Popular,001079-0,8,2022
Fiat,Marea ELX 1.8 mpi 16V 132cv 4p,2007,211396,18751.0,13.4,13.7,1612,7.4,Hatchback,Popular,001185-1,8,2022
Fiat,Marea ELX 2.0 20V 4p,2000,416171,10031.0,11.2,15.1,2435,6.7,Hatchback,Popular,001081-2,5,2022
Fiat,Marea ELX 2.4 mpi 20V 4p,2003,348506,14938.0,12.2,13.7,2076,6.6,Hatchback,Popular,001144-4,5,2022
Fiat,Marea HLX 2.0 20V 4p,2000,369930,13460.0,13.1,13.6,1650,6.9,Hatchback,Popular,001082-0,6,2022
Fiat,Marea HLX 2.4 mpi 20V 4p Aut.,2007,267447,21747.0,13.0,15.2,1750,7.2,Hatchback,Popular,001173-8,5,2022
Fiat,Marea HLX 2.4 mpi 20V 4p Mec.,2002,382517,15600.0,13.4,16.7,1852,7.5,Hatchback,Popular,001145-2,5,2022
Fiat,Marea SX 1.6 mpi 16V 106cv 4p,2007,255947,20222.0,13.4,14.6,2349,7.3,Hatchback,Popular,001226-2,5,2022
Fiat,Marea SX 1.8 16V 4p,2005,322740,13162.0,11.4,14.1,2449,6.7,Hatchback,Popular,001114-2,6,2022
Fiat,Marea SX 2.0 20V 4p,2000,304006,9614.0,11.2,14.7,1644,6.8,Hatchback,Popular,001080-4,8,2022
Fiat,Marea Turbo 2.0 20V 4p,2007,297200,35783.0,13.4,14.1,2247,7.2,Hatchback,Popular,001083-9,7,2022
Fiat,Marea Weekend City 4p,2000,370730,14186.0,12.5,15.8,1775,7.0,Hatchback,Popular,001084-7,7,2022
Fiat,Marea Weekend ELX 1.8 mpi 16V 132cv 4p,2007,224245,20558.0,13.8,15.1,2219,6.9,Hatchback,Popular,001186-0,7,2022
Fiat,Marea Weekend ELX 2.0 20V 4p,2000,326536,13598.0,12.5,15.9,2004,7.2,Hatchback,Popular,001086-3,7,2022
Fiat,Marea Weekend ELX 2.4 mpi 20V 4p,2003,273459,19744.0,13.0,16.4,1820,7.1,Hatchback,Popular,001146-0,6,2022
Fiat,Marea Weekend HLX 2.0 20V 4p,2000,340799,14221.0,12.0,13.8,1913,6.7,Hatchback,Popular,001087-1,7,2022
Fiat,Marea Weekend HLX 2.4 mpi 20V 4p Aut.,2007,211935,28213.0,13.8,14.0,2237,7.4,Hatchback,Popular,001174-6,6,2022
Fiat,Marea Weekend HLX 2.4 mpi 20V 4p Mec.,2003,310229,18072.0,13.6,14.1,1649,6.8,Hatchback,Popular,001147-9,7,2022
Fiat,Marea Weekend SX 1.6 mpi 16V 106cv 4p,2007,247658,18300.0,12.2,16.9,1501,7.2,Hatchback,Popular,001227-0,6,2022
Fiat,Marea Weekend SX 1.8 16V 4p,2005,312364,15995.0,12.8,13.6,1540,6.8,Hatchback,Popular,001133-9,7,2022
Fiat,Marea Weekend SX 2.0 20V 4p,2000,377352,13247.0,13.2,15.8,1859,7.1,Hatchback,Popular,001085-5,5,2022
